frame,people_in_frame,cumulative_in,cumulative_out,waiting_total,tables_occupied,tables_total
0,5,0,0,1,1,5
1,5,0,0,1,1,5
2,5,0,0,1,1,5
3,5,0,0,1,1,5
4,5,0,0,1,1,5
5,4,0,0,1,1,5
6,4,0,0,1,1,5
7,6,0,0,2,1,5
8,5,0,0,1,1,5
9,6,0,0,1,1,5
10,6,0,0,1,1,5
11,5,0,0,1,0,5
12,6,0,0,1,1,5
13,6,0,0,1,1,5
14,5,0,0,1,0,5
15,5,0,0,1,0,5
16,6,0,0,2,0,5
17,5,0,0,2,1,5
18,5,0,0,2,1,5
19,5,0,0,1,1,5
20,5,0,0,2,1,5
21,5,0,0,2,1,5
22,5,0,0,2,1,5
23,5,0,0,2,1,5
24,6,0,0,2,1,5
25,7,0,0,2,1,5
26,7,0,0,2,1,5
27,6,0,0,1,1,5
28,6,0,0,1,1,5
29,6,0,0,1,1,5
30,7,0,0,2,1,5
31,7,0,0,2,1,5
32,7,0,0,2,1,5
33,8,0,0,2,1,5
34,9,0,0,2,1,5
35,8,0,0,2,1,5
36,7,0,0,1,1,5
37,7,0,0,1,1,5
38,8,0,0,2,1,5
39,8,0,0,2,1,5
40,8,0,0,2,1,5
41,8,0,0,2,1,5
42,7,0,0,2,1,5
43,8,0,0,2,1,5
44,8,0,0,2,1,5
45,8,0,0,2,1,5
46,8,0,0,2,1,5
47,8,0,0,2,1,5
48,7,1,0,1,1,5
49,9,1,0,2,1,5
50,9,1,0,2,1,5
51,8,1,0,2,1,5
52,8,1,0,2,1,5
53,9,1,0,2,1,5
54,7,1,0,1,1,5
55,7,1,0,1,1,5
56,7,1,0,1,1,5
57,7,1,0,2,1,5
58,7,1,0,2,1,5
59,7,1,0,2,1,5
60,6,1,0,1,1,5
61,7,1,0,1,1,5
62,7,1,0,1,1,5
63,7,1,0,0,1,5
64,7,1,0,0,1,5
65,7,1,0,0,1,5
66,5,1,0,0,1,5
67,5,1,0,0,1,5
68,5,1,0,0,1,5
69,7,1,0,1,1,5
70,7,1,0,1,1,5
71,7,1,0,1,1,5
